corruption,magnitude,Hstar,H_mm,tip_collision_rate,body_collision_rate,off_object_rate
noise,0.5,0.5,0.2,21.630888972998868,35.97265721092436,0.0
noise,1.0,0.5,0.2,40.54118783251605,37.24460255833462,0.0
noise,2.0,0.5,0.2,39.000577707793326,36.59500049895048,0.0
scale,0.98,0.5,0.2,38.19095477386934,39.44723618090452,0.0
scale,0.95,0.5,0.2,71.2751677852349,41.74496644295302,0.0
scale,0.9,0.5,0.2,87.71121351766513,47.465437788018434,0.0
scale,0.8,0.5,0.2,91.39344262295081,60.45081967213115,0.0
scale,1.02,0.5,0.2,2.981651376146789,34.288990825688074,0.0
scale,1.05,0.5,0.2,0.6389776357827476,32.05537806176784,0.0
scale,1.1,0.5,0.2,0.9596928982725527,24.664107485604607,1.8234165067178503
scale,1.2,0.5,0.2,1.726844583987441,13.500784929356357,13.186813186813188
combined,0.98,0.5,0.2,56.77976227903787,41.05914021227121,0.0
combined,0.95,0.5,0.2,66.22996468837968,45.316706590854224,0.0
combined,0.9,0.5,0.2,76.21148872754755,51.355533483174746,0.0
combined,0.8,0.5,0.2,86.03516604073234,64.25330373494032,0.0
combined,1.02,0.5,0.2,43.80461372540119,36.769463318641044,0.0
combined,1.05,0.5,0.2,35.99970615526822,34.187236655794734,0.1045465760491667
combined,1.1,0.5,0.2,26.757152190471068,28.40162273832302,2.776410752362147
combined,1.2,0.5,0.2,16.557684390495048,19.575053636172264,13.704706326411326
noise,0.5,1.0,0.4,8.050439234979917,33.505760077497094,0.0
noise,1.0,1.0,0.4,26.922321553296065,34.24901088592681,0.0
noise,2.0,1.0,0.4,32.651407655460126,33.43457409084084,0.0
scale,0.98,1.0,0.4,17.587939698492463,35.92964824120603,0.0
scale,0.95,1.0,0.4,50.604026845637584,39.19463087248322,0.0
scale,0.9,1.0,0.4,73.8863287250384,45.46850998463901,0.0
scale,0.8,1.0,0.4,88.52459016393442,57.377049180327866,0.0
scale,1.02,1.0,0.4,0.0,31.76605504587156,0.0
scale,1.05,1.0,0.4,0.0,27.79552715654952,0.0
scale,1.1,1.0,0.4,0.0,21.976967370441457,1.8234165067178503
scale,1.2,1.0,0.4,0.5494505494505495,11.773940345368917,13.186813186813188
combined,0.98,1.0,0.4,49.6100933177384,38.28531393445724,0.0
combined,0.95,1.0,0.4,58.43632161658347,42.33448185494423,0.0
combined,0.9,1.0,0.4,70.64811673264178,47.87208021839464,0.0
combined,0.8,1.0,0.4,81.71805917747534,61.23173957892601,0.0
combined,1.02,1.0,0.4,36.925160952323246,33.85458250578708,0.0
combined,1.05,1.0,0.4,30.003544529328956,31.30108808284492,0.1045465760491667
combined,1.1,1.0,0.4,22.183456248650238,26.179385736871325,2.776410752362147
combined,1.2,1.0,0.4,13.804914249230535,17.71675118395958,13.704706326411326
noise,0.5,2.0,0.8,0.5060448462362152,25.62944947733294,0.0
noise,1.0,2.0,0.8,8.389431584199311,27.675479997773646,0.0
noise,2.0,2.0,0.8,21.98519439388176,28.23760910621356,0.0
scale,0.98,2.0,0.8,1.507537688442211,30.27638190954774,0.0
scale,0.95,2.0,0.8,18.65771812080537,32.61744966442953,0.0
scale,0.9,2.0,0.8,45.46850998463901,39.324116743471585,0.0
