corruption,magnitude,Hstar,H_mm,tip_collision_rate,body_collision_rate,off_object_rate
noise,0.5,0.5,0.2,27.061360412952332,60.55389568398813,0.0
noise,1.0,0.5,0.2,34.564340644669734,60.48899259307078,0.0
noise,2.0,0.5,0.2,35.02062995690446,58.55054546045143,0.0
scale,0.98,0.5,0.2,98.74476987447699,63.17991631799163,0.0
scale,0.95,0.5,0.2,98.66071428571429,67.41071428571429,0.0
scale,0.9,0.5,0.2,100.0,76.78571428571429,0.0
scale,0.8,0.5,0.2,100.0,98.63481228668942,0.0
scale,1.02,0.5,0.2,0.0,56.84410646387833,0.0
scale,1.05,0.5,0.2,0.0,52.899824253075565,0.0
scale,1.1,0.5,0.2,0.0,46.592709984152144,0.0
scale,1.2,0.5,0.2,0.0,26.52005174644243,11.51358344113842
combined,0.98,0.5,0.2,61.38151497349007,63.22314982996022,0.0
combined,0.95,0.5,0.2,87.40523999405346,68.94777869738886,0.0
combined,0.9,0.5,0.2,98.38842766868939,78.5748086497294,0.0
combined,0.8,0.5,0.2,100.0,96.85950852458156,0.0
combined,1.02,0.5,0.2,24.526480829067328,57.136226769687674,0.0
combined,1.05,0.5,0.2,7.137413205240189,52.49017962743949,0.0
combined,1.1,0.5,0.2,0.7265805258173319,44.98386226590164,0.8381152875892063
combined,1.2,0.5,0.2,0.0,26.27987856579303,11.35578151682617
noise,0.5,1.0,0.4,9.620589669374333,58.69695759373951,0.0
noise,1.0,1.0,0.4,23.012843269555383,59.1047823302114,0.0
noise,2.0,1.0,0.4,28.534742625662677,57.02868397306046,0.0
scale,0.98,1.0,0.4,73.22175732217573,60.66945606694561,0.0
scale,0.95,1.0,0.4,98.21428571428571,66.07142857142857,0.0
scale,0.9,1.0,0.4,100.0,75.51020408163265,0.0
scale,0.8,1.0,0.4,100.0,96.58703071672356,0.0
scale,1.02,1.0,0.4,0.0,54.94296577946768,0.0
scale,1.05,1.0,0.4,0.0,51.31810193321616,0.0
scale,1.1,1.0,0.4,0.0,45.48335974643423,0.0
scale,1.2,1.0,0.4,0.0,26.002587322121606,11.51358344113842
combined,0.98,1.0,0.4,54.88541167182357,61.3992087397315,0.0
combined,0.95,1.0,0.4,84.00731215806684,66.78103224804806,0.0
combined,0.9,1.0,0.4,97.4823912074423,76.85593450204101,0.0
combined,0.8,1.0,0.4,100.0,95.98208232101447,0.0
combined,1.02,1.0,0.4,18.91679335259384,55.450219412023785,0.0
combined,1.05,1.0,0.4,4.972075976780891,51.24993054303184,0.0
combined,1.1,1.0,0.4,0.5697094467200305,43.609236241138994,0.8381152875892063
combined,1.2,1.0,0.4,0.0,25.556255321431145,11.35578151682617
noise,0.5,2.0,0.8,0.11873392308174917,54.90199965122937,0.0
noise,1.0,2.0,0.8,9.680776738329254,55.422718473493475,0.0
noise,2.0,2.0,0.8,15.72047772376825,53.98684352475634,0.0
scale,0.98,2.0,0.8,13.598326359832635,56.903765690376574,0.0
scale,0.95,2.0,0.8,97.76785714285714,63.16964285714286,0.0
scale,0.9,2.0,0.8,99.48979591836735,70.66326530612244,0.0
scale,0.8,2.0,0.8,100.0,92.15017064846417,0.0
scale,1.02,2.0,0.8,0.0,52.09125475285171,0.0
scale,1.05,2.0,0.8,0.0,48.50615114235501,0.0
scale,1.1,2.0,0.8,0.0,42.15530903328051,0.0
scale,1.2,2.0,0.8,0.0,24.708926261319533,11.51358344113842
combined,0.98,2.0,0.8,41.32821166973793,58.06532484518201,0.0
combined,0.95,2.0,0.8,70.64631078060661,63.08672230291781,0.0
combined,0.9,2.0,0.8,95.16909478211466,72.52697865818558,0.0
combined,0.8,2.0,0.8,100.0,93.10623204985323,0.0
combined,1.02,2.0,0.8,10.261289581901329,52.03954527958355,0.0
combined,1.05,2.0,0.8,1.9264847331877863,47.97773807082804,0.0
combined,1.1,2.0,0.8,0.16158727873034157,41.28288341126432,0.8381152875892063
combined,1.2,2.0,0.8,0.0,24.00960930085329,11.35578151682617
noise,0.5,3.0,1.2000000000000002,0.039525691699604744,52.016136322880584,0.0
noise,1.0,3.0,1.2000000000000002,2.485507462639265,52.57387785542363,0.0
