corruption,magnitude,Hstar,H_mm,n_points,tip_collision_rate,body_collision_rate,off_object_rate
noise,0.5,10,4.0,859,0.0,0.0,0.0
noise,1.0,10,4.0,884,0.0,0.0,0.0
noise,2.0,10,4.0,940,0.0,0.0,0.0
noise,5.0,10,4.0,1101,0.0,0.0,1.2715712988192553
scale,0.98,10,4.0,796,0.0,0.0,0.0
scale,0.95,10,4.0,745,0.0,0.0,0.0
scale,0.9,10,4.0,651,0.0,0.0,0.0
scale,1.02,10,4.0,872,0.0,0.0,0.0
scale,1.05,10,4.0,939,0.0,0.0,0.0
scale,1.1,10,4.0,1042,0.0,0.0,1.8234165067178503
noise,0.5,20,8.0,864,0.0,0.0,0.0
noise,1.0,20,8.0,890,0.0,0.0,0.0
noise,2.0,20,8.0,938,0.0,0.0,0.0
noise,5.0,20,8.0,1124,0.0,0.0,2.6690391459074734
scale,0.98,20,8.0,796,0.0,0.0,0.0
scale,0.95,20,8.0,745,0.0,0.0,0.0
scale,0.9,20,8.0,651,0.0,0.0,0.0
scale,1.02,20,8.0,872,0.0,0.0,0.0
scale,1.05,20,8.0,939,0.0,0.0,0.0
scale,1.1,20,8.0,1042,0.0,0.0,1.8234165067178503
noise,0.5,30,12.0,858,0.0,0.0,0.0
noise,1.0,30,12.0,870,0.0,0.0,0.0
noise,2.0,30,12.0,952,0.0,0.0,0.0
noise,5.0,30,12.0,1114,0.0,0.0,2.7827648114901256
scale,0.98,30,12.0,796,0.0,0.0,0.0
scale,0.95,30,12.0,745,0.0,0.0,0.0
scale,0.9,30,12.0,651,0.0,0.0,0.0
scale,1.02,30,12.0,872,0.0,0.0,0.0
scale,1.05,30,12.0,939,0.0,0.0,0.0
scale,1.1,30,12.0,1042,0.0,0.0,1.8234165067178503
noise,0.5,40,16.0,856,0.0,0.0,0.0
noise,1.0,40,16.0,887,0.0,0.0,0.0
noise,2.0,40,16.0,946,0.0,0.0,0.0
noise,5.0,40,16.0,1133,0.0,0.0,3.3539276257722856
scale,0.98,40,16.0,796,0.0,0.0,0.0
scale,0.95,40,16.0,745,0.0,0.0,0.0
scale,0.9,40,16.0,651,0.0,0.0,0.0
scale,1.02,40,16.0,872,0.0,0.0,0.0
scale,1.05,40,16.0,939,0.0,0.0,0.0
scale,1.1,40,16.0,1042,0.0,0.0,1.8234165067178503
noise,0.5,50,20.0,864,0.0,0.0,0.0
noise,1.0,50,20.0,888,0.0,0.0,0.0
noise,2.0,50,20.0,951,0.0,0.0,0.0
noise,5.0,50,20.0,1137,0.0,0.0,3.16622691292876
scale,0.98,50,20.0,796,0.0,0.0,0.0
scale,0.95,50,20.0,745,0.0,0.0,0.0
scale,0.9,50,20.0,651,0.0,0.0,0.0
scale,1.02,50,20.0,872,0.0,0.0,0.0
scale,1.05,50,20.0,939,0.0,0.0,0.0
scale,1.1,50,20.0,1042,0.0,0.0,1.8234165067178503
